Ion       |        Air wav (Å) |Unc. (Å)| Ritz Wav Air (Å)   |Unc. (Å)|  Amp  | Aki (s^-1) | Acc. | Lower level | Upper level |Type| TP               | Line             
Kr I      |        13763.72    |        |        13764.065+  |        |     6 |            |      | 2           | 3           |    |                  |             L7384
Kr I      |        13800.03    |        |        13800.084+  |        |     3 |            |      | 1           | 2           |    |                  |             L7384
Ar I      |        13825.715   |        |        13825.716   |        |    10 | 3.3e+06    | D    | 2           | 2           |    |            T1372 |             L2634
Kr I      |        13832.88    |        |        13832.87+   |        |     8 | 3.12e+06   | C+   | 1           | 1           |    |            T5651 |              L125
Kr I      |        13882.85    |        |        13882.85+   |        |    27 | 1.06e+07   | C+   | 2           | 1           |    |            T5651 |              L125
Ar I      |        13907.478   |        |                    |        |    10 |            |      |             |             |    |                  |             L2634
Kr I      |        13924.04    |        |        13923.85+   |        |    42 |            |      | 2           | 3           |    |                  |              L125
Kr I      |        13939.00    |        |        13938.91+   |        |    10 | 1.10e+07   | C+   | 1           | 0           |    |            T5651 |              L125
Hg I      |        13950.55    |  0.2   |        13950.484   |  0.023 |   200 | 5.e+07     | D    | 1           | 0           |    |            T3462 |             L3502
Kr I      |        13974.06    |        |        13974.03+   |        |    14 |            |      | 2           | 2           |    |                  |              L125
