| ion |      wave | NIST | Instr | amplitude |       Source |
| XeI | 11494.370 |    1 |   199 |   30700.0 | Xe_lines.dat |
| HgI | 11506.629 |    1 |   505 |   38320.0 | Hg_lines.dat |
| ArI | 11506.629 |    1 |   351 |   38320.0 | Ar_lines.dat |
| KrI | 11517.520 |    1 |   201 |   29410.0 | Kr_lines.dat |
| XeI | 11540.560 |    1 |   200 |   17400.0 | Xe_lines.dat |
| HgI | 11561.791 |    1 |   506 |   38440.0 | Hg_lines.dat |
| ArI | 11561.791 |    1 |   352 |   38440.0 | Ar_lines.dat |
| ArI | 11614.161 |    1 |   353 |   23010.0 | Ar_lines.dat |
| HgI | 11614.161 |    1 |   507 |   23010.0 | Hg_lines.dat |
| KrI | 11614.800 |    1 |   202 |   42720.0 | Kr_lines.dat |
| XeI | 11617.260 |    1 |   201 |   14320.0 | Xe_lines.dat |
| ArI | 11651.484 |    1 |   354 |   23940.0 | Ar_lines.dat |
| HgI | 11651.484 |    1 |   508 |   23940.0 | Hg_lines.dat |
| ArI | 11651.585 |    1 |   355 |   23940.0 | Ar_lines.dat |
| HgI | 11651.585 |    1 |   509 |   23940.0 | Hg_lines.dat |
| KrI | 11659.000 |    1 |   203 |   27420.0 | Kr_lines.dat |
| ArI | 11671.904 |    1 |   356 |   37850.0 | Ar_lines.dat |
| HgI | 11671.904 |    1 |   510 |   37850.0 | Hg_lines.dat |
| HgI | 11681.093 |    1 |   511 |   35700.0 | Hg_lines.dat |
| ArI | 11681.093 |    1 |   357 |   35700.0 | Ar_lines.dat |
| ArI | 11722.696 |    1 |   358 |   52530.0 | Ar_lines.dat |
| HgI | 11722.696 |    1 |   513 |   52530.0 | Hg_lines.dat |
| ArI | 11723.654 |    1 |   359 |   60710.0 | Ar_lines.dat |
| HgI | 11723.654 |    1 |   514 |   60710.0 | Hg_lines.dat |
| XeI | 11745.450 |    1 |   202 |   40400.0 | Xe_lines.dat |
| ArI | 11747.900 |    1 |   360 |   58630.0 | Ar_lines.dat |
| HgI | 11747.900 |    1 |   515 |   58630.0 | Hg_lines.dat |
| HgI | 11759.303 |    1 |   516 |   49300.0 | Hg_lines.dat |
| ArI | 11759.303 |    1 |   361 |   49300.0 | Ar_lines.dat |
